catalog_name	family	copy	LG
48823	01	x1	22
48823	01	x2	11
48823	08	x1	22
48882	08	x1	11
48895	08	x1	0
48900	08	x1	22
48900	09	x1	22
48913	08	x1	17
49006	09	x1	6
49116	01	x1	27
49116	09	x1	27
49128	09	x1	36
49149	01	x1	27
49149	08	x1	27
49154	01	x1	0
49158	09	x1	7
49193	09	x1	0
49225	09	x1	0
49252	01	x1	12
4925	01	x1	10
4925	08	x1	28
4925	09	x1	28
4925	09	x2	0
49328	08	x1	6
49358	01	x1	6
49358	09	x1	6
49374	01	x1	2
49374	08	x1	2
49402	08	x1	6
49430	09	x1	11
49449	08	x1	11
4949	01	x1	0
4949	09	x1	0
4951	01	x1	0
49572	01	x1	6
49572	08	x1	35
49581	01	x1	20
49600	08	x1	22
49607	08	x1	12
49607	09	x1	27
49607	09	x2	12
49628	08	x1	22
49671	08	x1	3
49671	09	x1	7
49686	08	x1	27
49772	01	x1	0
49837	08	x1	26
49849	09	x1	0
49870	01	x1	37
49875	01	x1	36
49875	08	x2	0
49934	01	x1	11
49934	08	x1	22
49943	01	x1	22
49943	08	x1	11
49945	08	x1	12
49945	09	x1	27
49970	08	x1	9
4	01	x1	9
4	08	x1	37
4	09	x1	9
50001	01	x1	28
50004	08	x1	0
50019	08	x2	12
50039	08	x1	28
50048	08	x1	11
50062	09	x1	6
50079	09	x1	0
50135	09	x1	22
50211	08	x1	22
50212	09	x1	7
50288	01	x1	2
50288	08	x1	2
50409	08	x1	11
50415	01	x1	11
50415	08	x1	11
50453	01	x1	11
50477	01	x1	0
50477	08	x1	3
50500	01	x1	10
50500	09	x1	10
50503	09	x1	0
5056	01	x1	0
5056	09	x1	0
50586	01	x1	10
